function,dimension,problem_class,gwo_best,gwo_worst,gwo_mean,gwo_std,gwo_median,gwo_success_rate,gwo_mean_time_s,gwo_mean_fevals,pso_best,pso_worst,pso_mean,pso_std,pso_median,pso_success_rate,pso_mean_time_s,pso_mean_fevals,wilcoxon_stat,wilcoxon_p
Sphere,2,"Unimodal, convex, separable",2.226656110209961e-126,4.890385153126813e-90,2.350656702502312e-91,9.696838858028076e-91,2.3431724272543564e-109,100.0,0.08317648887634277,5430.0,1.732215827652588e-24,2.65615406704808e-18,3.7215429666102175e-19,6.390824733323484e-19,3.7679687207255607e-20,100.0,0.02157111167907715,6030.0,,1.0
Sphere,10,"Unimodal, convex, separable",1.0036732152023712e-27,1.3651639775402694e-24,1.3227178077870115e-25,2.862551322738829e-25,2.89587804066306e-26,100.0,0.2628557777404785,5430.0,9.475696983248345e-07,0.0004438714381295819,6.250059394884056e-05,9.324138434568086e-05,3.0088795530607048e-05,100.0,0.02157242774963379,6030.0,0.0,5.960464477539063e-08
Sphere,30,"Unimodal, convex, separable",3.4778316186483784e-13,1.486792967161633e-11,2.8231856265770983e-12,2.858360097916641e-12,2.2001322904209653e-12,100.0,0.7068350124359131,5430.0,1.4172587462877864,30.484936839020094,7.735205832746545,9.37144206998123,3.5647455629130524,0.0,0.02267962455749512,6030.0,0.0,5.960464477539063e-08
Shifted Sphere,2,"Unimodal, convex, separable, shifted optimum",3.965843290281275e-09,1.7151076283382285e-06,3.5961938636162905e-07,4.2938839111485263e-07,1.9595580159538417e-07,100.0,0.09065883636474609,5430.0,6.532555800280518e-23,1.0832217265556323e-17,7.223103722454259e-19,2.1361085053250344e-18,5.008594932512864e-20,100.0,0.029458589553833008,6030.0,0.0,5.960464477539063e-08
Shifted Sphere,10,"Unimodal, convex, separable, shifted optimum",3.544911659623693e-05,0.00013599985170674805,6.514355725818346e-05,2.300245284902322e-05,5.992689141141477e-05,100.0,0.2737760257720947,5430.0,4.384256026414776e-06,0.00045711520231099745,7.495239932031464e-05,0.00010189262655279422,3.4984511673473e-05,100.0,0.03055286407470703,6030.0,133.0,0.4418373703956604
Shifted Sphere,30,"Unimodal, convex, separable, shifted optimum",0.0019615023954906072,8.293626207084891,3.122043403598831,2.181500229564049,3.475812859650316,0.0,0.7209934520721436,5430.0,1.3146980532232824,55.79139661752949,25.934824628676036,15.587471996417992,29.26327718419646,0.0,0.03288833618164062,6030.0,10.0,2.562999725341797e-06
Rastrigin,2,"Multimodal, non-convex, separable",0.0,0.0,0.0,0.0,0.0,100.0,0.09844078063964844,5430.0,0.0,1.5631940186722204e-13,1.1368683772161604e-14,3.28698021866682e-14,0.0,100.0,0.0368754768371582,6030.0,,1.0
Rastrigin,10,"Multimodal, non-convex, separable",0.0,39.23672463024191,5.1798898099202315,8.141661233353053,3.3623434392011404,36.0,0.2771432304382324,5430.0,10.745669388224172,40.24163997610506,19.64182113091804,7.719136727808121,18.708907541644834,0.0,0.03736886978149414,6030.0,21.0,2.664327621459961e-05
Rastrigin,30,"Multimodal, non-convex, separable",5.23358721875519,120.48608271547147,33.40347970956073,27.5054579059428,24.83419735425946,0.0,0.7236052036285401,5430.0,176.7578214599663,331.5394241170161,249.55248738632974,40.054944543401064,244.36363298926648,0.0,0.041492252349853515,6030.0,0.0,5.960464477539063e-08
Rosenbrock,2,"Unimodal, non-convex, non-separable (narrow curved valley)",7.77836311511835e-09,9.596236059221502e-05,7.466546337790414e-06,1.8611152339775785e-05,1.5026564965177016e-06,100.0,0.10343789100646973,5430.0,3.3017131431318e-11,8.253944005757155e-06,8.100972394102947e-07,1.677176860913803e-06,1.6257484680742548e-07,100.0,0.04279172897338867,6030.0,38.0,0.0003764033317565918
Rosenbrock,10,"Unimodal, non-convex, non-separable (narrow curved valley)",5.22802985155033,8.062278174841081,6.944964018281028,0.6487210237292118,7.138850469020444,0.0,0.2821958827972412,5430.0,0.08533275751186321,429.0063916506926,28.02912860179359,84.05914170019504,6.80321110940078,0.0,0.043759326934814456,6030.0,111.0,0.17295855283737183
Rosenbrock,30,"Unimodal, non-convex, non-separable (narrow curved valley)",25.533284658673058,28.749044523840684,27.33629446776243,0.8335195411088031,27.105797959000075,0.0,0.7376635360717774,5430.0,147.72124272555072,1421.160137314005,447.65349454337286,343.1104748943645,312.0098543737265,0.0,0.045402841567993166,6030.0,0.0,5.960464477539063e-08
